Wavelength	Counts
481.22	18484.50
481.59	18658.75
481.96	18601.75
482.33	18822.38
482.70	18943.25
483.07	18748.00
483.44	19184.50
483.81	18915.75
484.18	19220.63
484.55	19090.63
484.92	19714.25
485.29	19431.25
485.66	19962.00
486.03	19784.13
486.40	19945.75
486.77	20055.38
487.14	20258.13
487.50	20279.13
487.87	20778.88
488.24	21085.25
488.61	20818.75
488.98	21454.50
489.35	21539.75
489.72	21835.00
490.09	21605.50
490.46	22029.88
490.83	22119.38
491.19	22638.63
491.56	22776.50
491.93	22896.63
492.30	23398.50
492.67	23103.63
493.04	23854.25
493.41	24071.38
493.78	23910.00
494.14	24171.88
494.51	24421.75
494.88	25021.38
495.25	25106.50
495.62	25047.63
495.99	25808.13
496.35	25741.25
496.72	25802.63
497.09	26187.50
497.46	26757.50
497.83	26987.13
498.20	27088.75
498.56	27416.50
498.93	27313.13
499.30	27626.88
499.67	27598.00
500.04	28176.25
500.40	28523.75
500.77	28292.50
501.14	28788.88
501.51	28899.75
501.87	28899.75
502.24	29568.38
502.61	29505.63
502.98	29531.88
503.35	29878.00
503.71	29852.88
504.08	30244.63
504.45	30262.38
504.81	30454.38
505.18	30571.38
505.55	30561.00
505.92	30473.88
506.28	31132.38
506.65	31143.88
507.02	31216.13
507.39	31114.63
507.75	31252.88
508.12	31101.25
508.49	31462.38
508.85	31384.00
509.22	31496.13
509.59	31673.75
509.95	31821.88
510.32	31712.38
510.69	32037.25
511.05	31936.75
511.42	31736.13
511.79	31876.38
512.15	32176.00
512.52	32132.50
512.89	32340.88
513.25	32238.13
513.62	32008.63
513.99	32034.13
514.35	32085.38
514.72	32101.75
515.09	31731.63
515.45	32048.88
515.82	32017.75
516.18	32201.50
516.55	32025.13
516.92	32153.63
517.28	31614.25
517.65	32106.13
518.01	31809.63
518.38	31730.75
518.75	31519.13
519.11	31932.63
519.48	31668.63
519.84	31847.75
520.21	31377.13
520.57	31845.25
520.94	31417.38
521.31	31347.50
521.67	31837.88
522.04	31334.00
522.40	31802.38
522.77	31330.38
523.13	31657.63
523.50	31620.50
523.86	31750.63
524.23	31281.25
524.59	31320.13
524.96	31721.63
525.32	31406.75
525.69	31524.88
526.05	31712.38
526.42	31131.25
526.78	31448.88
527.15	31714.13
527.51	31603.00
527.88	31700.38
528.24	31874.13
528.61	31732.50
528.97	31642.13
529.34	31566.38
529.70	32103.63
530.07	31730.88
530.43	31794.63
530.80	32094.88
531.16	32176.88
531.53	31948.25
531.89	32469.88
532.25	32720.38
532.62	32412.75
532.98	32675.50
533.35	32804.00
533.71	33209.38
534.07	33131.13
534.44	33342.25
534.80	33484.88
535.17	33858.25
535.53	33970.00
535.89	33971.25
536.26	33743.50
536.62	34039.25
536.99	34091.38
537.35	34392.63
537.71	34510.25
538.08	35146.00
538.44	34939.38
538.80	35333.25
539.17	35398.13
539.53	35772.50
539.90	35554.50
540.26	35965.50
540.62	36213.75
540.99	36394.63
541.35	36391.88
541.71	36726.75
542.08	36638.13
542.44	36756.13
542.80	37174.38
543.16	37323.75
543.53	37512.13
543.89	37391.25
544.25	37779.00
544.62	37840.75
544.98	37961.00
545.34	38230.63
545.71	37853.63
546.07	38335.88
546.43	38142.38
546.79	38378.63
547.16	38148.63
547.52	38555.38
547.88	38431.75
548.24	38441.75
548.61	38707.63
548.97	38825.25
549.33	38825.75
549.69	38694.00
550.06	38635.63
550.42	38612.63
550.78	38465.75
551.14	38780.38
551.50	38666.00
551.87	38238.00
552.23	38409.38
552.59	38465.50
552.95	38196.88
553.31	38242.00
553.68	38400.38
554.04	38207.88
554.40	38026.75
554.76	38132.38
555.12	38142.50
555.49	37572.13
555.85	37702.88
556.21	37431.75
556.57	37542.50
556.93	37002.25
557.29	37167.75
557.65	37065.00
558.02	37005.88
558.38	36697.13
558.74	36707.63
559.10	36677.25
559.46	36564.25
