Wavelength	Counts
340.23	111.50
340.61	53.50
340.99	84.50
341.38	179.50
341.76	-288.00
342.14	157.00
342.53	-277.50
342.91	-268.50
343.30	2.50
343.68	-182.50
344.06	-110.50
344.45	308.50
344.83	140.00
345.21	110.00
345.60	243.50
345.98	109.50
346.36	80.00
346.75	258.00
347.13	364.50
347.51	-120.00
347.90	42.00
348.28	51.50
348.66	303.50
349.04	103.50
349.43	413.00
349.81	213.50
350.19	-158.50
350.58	185.00
350.96	-135.00
351.34	-4.00
351.72	433.50
352.11	338.00
352.49	38.50
352.87	127.00
353.26	-121.00
353.64	357.50
354.02	233.00
354.40	428.00
354.79	438.00
355.17	5.00
355.55	-11.00
355.93	-65.00
356.31	317.00
356.70	137.50
357.08	-110.50
357.46	-39.00
357.84	-105.00
358.23	28.50
358.61	429.00
358.99	-89.00
359.37	258.50
359.75	373.50
360.14	436.50
360.52	440.50
360.90	-64.00
361.28	98.50
361.66	307.50
362.05	163.00
362.43	331.50
362.81	-83.00
363.19	5.00
363.57	262.50
363.95	297.00
364.34	191.00
364.72	17.00
365.10	411.50
365.48	131.00
365.86	151.50
366.24	186.00
366.62	166.00
367.01	435.00
367.39	-84.00
367.77	-137.00
368.15	60.50
368.53	66.00
368.91	107.50
369.29	-33.00
369.67	-72.50
370.05	160.50
370.44	7.00
370.82	413.00
371.20	431.00
371.58	232.50
371.96	209.00
372.34	141.50
372.72	198.50
373.10	-48.00
373.48	-77.50
373.86	373.50
374.24	-91.00
374.62	422.00
375.01	416.50
375.39	-97.50
375.77	430.50
376.15	262.00
376.53	332.50
376.91	14.00
377.29	-121.00
377.67	331.50
378.05	418.50
378.43	283.50
378.81	125.50
379.19	-12.50
379.57	360.00
379.95	286.50
380.33	-0.50
380.71	1.50
381.09	401.00
381.47	146.50
381.85	205.00
382.23	354.50
382.61	73.50
382.99	-123.00
383.37	134.50
383.75	106.50
384.13	340.00
384.51	143.00
384.89	394.00
385.27	200.50
385.65	51.00
386.03	-115.50
386.41	-4.50
386.79	38.50
387.17	339.50
387.54	68.00
387.92	360.00
388.30	368.50
388.68	49.50
389.06	69.00
389.44	326.50
389.82	411.00
390.20	66.00
390.58	675.50
390.96	576.50
391.34	643.00
391.72	890.50
392.09	1146.00
392.47	1737.00
392.85	1749.50
393.23	2243.50
393.61	2865.50
393.99	3251.00
394.37	3414.50
394.75	3647.00
395.12	4340.00
